feature,mean_abs_shap,gain,shap_rank,gain_rank,avg_rank
issue_d,0.1759803044861586,0.8943027802399353,3.0,1.0,2.0
sub_grade,0.30675869614586004,0.5500718318167115,2.0,2.0,2.0
open_rv_24m,0.0649624209741006,0.456334059741165,6.0,3.0,4.5
emp_title,0.46149817554371403,0.21694724729380999,1.0,8.0,4.5
total_bal_il,0.06755935540820977,0.4497904880074971,5.0,4.0,4.5
int_rate,0.15051991026530773,0.2734943441582907,4.0,6.0,5.0
open_il_24m,0.03845965296200028,0.3272428910549867,11.0,5.0,8.0
title,0.056123251132870734,0.2106116307135844,8.0,9.0,8.5
inq_last_12m,0.02341349835273339,0.2275991300928423,13.0,7.0,10.0
fico_range_high,0.04198573756672616,0.1362530486319591,9.0,11.0,10.0
fico_range_low,0.04198573756672616,0.1362530486319591,9.0,11.0,10.0
grade,0.05731079010089814,0.10478920275823132,7.0,15.0,11.0
max_bal_bc,0.026739324087804096,0.1733608949860993,12.0,10.0,11.0
mths_since_rcnt_il,0.01916944865864316,0.1140322714129091,14.0,14.0,14.0
open_rv_12m,0.010089139700138994,0.12943804417025187,17.0,13.0,15.0
all_util,0.012787154076274208,0.06950310060717531,15.0,17.0,16.0
open_act_il,0.012334878623310995,0.10012329359584789,16.0,16.0,16.0
il_util,0.006261263084705116,0.0428124789651459,18.0,18.0,18.0
open_acc_6m,0.0038059898116469624,0.031186591358386605,19.0,19.0,19.0
bc_open_to_buy,0.0006720296854312825,0.0030987160051620622,20.0,20.0,20.0
