feature,gain
issue_d,0.8943027802399353
sub_grade,0.5500718318167115
open_rv_24m,0.456334059741165
total_bal_il,0.4497904880074971
open_il_24m,0.3272428910549867
int_rate,0.2734943441582907
inq_last_12m,0.2275991300928423
emp_title,0.21694724729380999
title,0.2106116307135844
max_bal_bc,0.1733608949860993
fico_range_low,0.1362530486319591
fico_range_high,0.1362530486319591
open_rv_12m,0.12943804417025187
mths_since_rcnt_il,0.1140322714129091
grade,0.10478920275823132
open_act_il,0.10012329359584789
all_util,0.06950310060717531
il_util,0.0428124789651459
open_acc_6m,0.031186591358386605
bc_open_to_buy,0.0030987160051620622
