feature,mean_abs_shap
total_rec_prncp,4.663932549696375
last_pymnt_d,3.7149313195293847
total_pymnt,3.358762812873229
last_pymnt_amnt,3.341145919041072
last_fico_range_high,1.2812430759806694
int_rate,0.6019396133043872
last_fico_range_low,0.44348597483934754
sub_grade,0.4430087377644647
total_bal_il,0.3536690037117421
bc_open_to_buy,0.2936992436715406
total_pymnt_inv,0.26861411389159073
max_bal_bc,0.24305018619641391
issue_d,0.13850710871222863
emp_title,0.13602745444062167
fico_range_low,0.1272276875238438
grade,0.09352437803158799
last_credit_pull_d,0.09220581167641613
open_act_il,0.07365101157681897
mths_since_rcnt_il,0.06810302519830203
fico_range_high,0.05816486358071089
open_il_24m,0.05423530746003396
il_util,0.046892695193762504
inq_fi,0.03667588069209046
open_rv_12m,0.03569641061455779
title,0.03059032750602063
zip_code,0.026261825518452412
open_rv_24m,0.018856967470061714
inq_last_12m,0.012561799296860155
all_util,0.005797381013618368
open_acc_6m,0.00172574180734914
