feature,mean_abs_shap,gain,shap_rank,gain_rank,avg_rank
total_rec_prncp,4.663932549696375,3.473720076728995,1.0,2.0,1.5
total_pymnt,3.358762812873229,4.553197297260814,3.0,1.0,2.0
last_pymnt_d,3.7149313195293847,2.0979236722836205,2.0,4.0,3.0
last_pymnt_amnt,3.341145919041072,1.0985953547491887,4.0,7.0,5.5
total_bal_il,0.3536690037117421,2.9130412695524033,9.0,3.0,6.0
int_rate,0.6019396133043872,1.0627373416939885,6.0,8.0,7.0
bc_open_to_buy,0.2936992436715406,1.4670212732114678,10.0,6.0,8.0
last_fico_range_high,1.2812430759806694,0.6587024415316939,5.0,12.0,8.5
max_bal_bc,0.24305018619641391,1.9702333432293184,12.0,5.0,8.5
sub_grade,0.4430087377644647,0.7705950432601232,8.0,9.0,8.5
issue_d,0.13850710871222863,0.7654054700402868,13.0,10.0,11.5
last_fico_range_low,0.44348597483934754,0.22800146193035817,7.0,21.0,14.0
total_pymnt_inv,0.26861411389159073,0.36316397384225685,11.0,18.0,14.5
open_act_il,0.07365101157681897,0.7559794735891731,18.0,11.0,14.5
last_credit_pull_d,0.09220581167641613,0.502647148412704,17.0,15.0,16.0
fico_range_low,0.1272276875238438,0.39589873136496534,15.0,17.0,16.0
mths_since_rcnt_il,0.06810302519830203,0.5670798331696578,19.0,14.0,16.5
open_il_24m,0.05423530746003396,0.6021352572658645,21.0,13.0,17.0
il_util,0.046892695193762504,0.41047777243179057,22.0,16.0,19.0
grade,0.09352437803158799,0.16559933987215827,16.0,23.0,19.5
emp_title,0.13602745444062167,0.06593169116038398,14.0,28.0,21.0
fico_range_high,0.05816486358071089,0.1809935883437647,20.0,22.0,21.0
inq_fi,0.03667588069209046,0.3246169808409981,23.0,19.0,21.0
open_rv_12m,0.03569641061455779,0.28605659048805654,24.0,20.0,22.0
title,0.03059032750602063,0.1365995053086473,25.0,24.0,24.5
open_rv_24m,0.018856967470061714,0.13128290441792934,27.0,25.0,26.0
zip_code,0.026261825518452412,0.10871404868968666,26.0,27.0,26.5
inq_last_12m,0.012561799296860155,0.11571893908782706,28.0,26.0,27.0
all_util,0.005797381013618368,0.04837764630109705,29.0,29.0,29.0
open_acc_6m,0.00172574180734914,0.011124977120934703,30.0,30.0,30.0
