feature,mean_abs_shap,gain,shap_rank,gain_rank,avg_rank
issue_d,0.18450422935124194,0.9376199555775877,1.0,1.0,1.0
emp_title_te_mean,0.06835170312526467,0.6129095669540923,8.0,2.0,5.0
int_rate,0.14347515237483333,0.26069403464698937,2.0,8.0,5.0
total_bal_il,0.08207882115629238,0.5464568570836681,7.0,3.0,5.0
sub_grade_te_std,0.12286580949293102,0.21766949680937653,3.0,9.0,6.0
open_rv_24m,0.06528579353418885,0.45860561783492493,9.0,4.0,6.5
fico_range_low,0.08281889731483619,0.268765726112347,6.0,7.0,6.5
title_te_count,0.04275172093982646,0.44915091304797977,11.0,5.0,8.0
sub_grade_te_skew,0.10576341969394211,0.18737084336667156,4.0,13.0,8.5
open_il_24m,0.040340666596647284,0.3432479325077507,12.0,6.0,9.0
sub_grade_te_mean,0.10156591059564249,0.17993452160189105,5.0,15.0,10.0
title_te_skew,0.02514602125920202,0.21618758722348574,14.0,10.0,12.0
title_te_std,0.022863001930240733,0.2114424449216037,15.0,11.0,13.0
inq_last_12m,0.020505174257562212,0.19932774475278114,16.0,12.0,14.0
max_bal_bc,0.025226347285218532,0.16355170864585544,13.0,16.0,14.5
grade_te_skew,0.052966133907947105,0.09690442526111465,10.0,19.0,14.5
emp_title_te_std,0.019998082141680234,0.1809518797194036,17.0,14.0,15.5
title_te_mean,0.017401822052762896,0.15406966177299114,18.0,17.0,17.5
open_rv_12m,0.008953006874583338,0.1148620926790142,21.0,18.0,19.5
mths_since_rcnt_il,0.013738182951761957,0.08172359231464751,20.0,20.0,20.0
grade_te_count,0.014067859667384663,0.033271869217550716,19.0,24.0,21.5
all_util,0.008437157352998124,0.0458591953179045,22.0,23.0,22.5
open_act_il,0.007766692230100854,0.06304292325612229,24.0,22.0,23.0
emp_title_te_skew,0.007371941208666472,0.07601413767656615,25.0,21.0,23.0
sub_grade_te_count,0.00838915909704324,0.03237973510864478,23.0,25.0,24.0
il_util,0.004651170279306936,0.031803188438538244,26.0,26.0,26.0
bc_open_to_buy,0.004496528578450031,0.020733407133302115,27.0,27.0,27.0
open_acc_6m,0.0015471411418515153,0.012677400874016434,28.0,28.0,28.0
fico_range_high,9.046344718579589e-07,2.9357398924412965e-06,29.0,29.0,29.0
grade_te_std,0.0,0.0,30.0,30.0,30.0
grade_te_mean,0.0,0.0,30.0,30.0,30.0
