feature,mean_abs_shap
issue_d,0.18450422935124194
int_rate,0.14347515237483333
sub_grade_te_std,0.12286580949293102
sub_grade_te_skew,0.10576341969394211
sub_grade_te_mean,0.10156591059564249
fico_range_low,0.08281889731483619
total_bal_il,0.08207882115629238
emp_title_te_mean,0.06835170312526467
open_rv_24m,0.06528579353418885
grade_te_skew,0.052966133907947105
title_te_count,0.04275172093982646
open_il_24m,0.040340666596647284
max_bal_bc,0.025226347285218532
title_te_skew,0.02514602125920202
title_te_std,0.022863001930240733
inq_last_12m,0.020505174257562212
emp_title_te_std,0.019998082141680234
title_te_mean,0.017401822052762896
grade_te_count,0.014067859667384663
mths_since_rcnt_il,0.013738182951761957
open_rv_12m,0.008953006874583338
all_util,0.008437157352998124
sub_grade_te_count,0.00838915909704324
open_act_il,0.007766692230100854
emp_title_te_skew,0.007371941208666472
il_util,0.004651170279306936
bc_open_to_buy,0.004496528578450031
open_acc_6m,0.0015471411418515153
fico_range_high,9.046344718579589e-07
grade_te_std,0.0
grade_te_mean,0.0
