feature,gain
total_pymnt,4.553197297260814
total_rec_prncp,3.473720076728995
total_bal_il,2.9130412695524033
last_pymnt_d,2.0979236722836205
max_bal_bc,1.9702333432293184
bc_open_to_buy,1.4670212732114678
last_pymnt_amnt,1.0985953547491887
int_rate,1.0627373416939885
sub_grade,0.7705950432601232
issue_d,0.7654054700402868
open_act_il,0.7559794735891731
last_fico_range_high,0.6587024415316939
open_il_24m,0.6021352572658645
mths_since_rcnt_il,0.5670798331696578
last_credit_pull_d,0.502647148412704
il_util,0.41047777243179057
fico_range_low,0.39589873136496534
total_pymnt_inv,0.36316397384225685
inq_fi,0.3246169808409981
open_rv_12m,0.28605659048805654
last_fico_range_low,0.22800146193035817
fico_range_high,0.1809935883437647
grade,0.16559933987215827
title,0.1365995053086473
open_rv_24m,0.13128290441792934
inq_last_12m,0.11571893908782706
zip_code,0.10871404868968666
emp_title,0.06593169116038398
all_util,0.04837764630109705
open_acc_6m,0.011124977120934703
