feature,mean_abs_shap
total_rec_prncp,4.562387581820299
last_pymnt_d,3.668150096281874
last_pymnt_amnt,3.3442350630072504
total_pymnt,2.5926467010845196
total_pymnt_inv,0.9600923642501481
last_fico_range_low,0.8581833324096111
last_fico_range_high,0.8581833324096111
int_rate,0.6800246750189272
sub_grade,0.5589506322044736
max_bal_bc,0.302070328834368
total_bal_il,0.283260011467973
bc_open_to_buy,0.2690061779565934
open_act_il,0.1383857050299444
emp_title,0.13595166759561303
grade,0.13098908112042132
issue_d,0.11886659357637977
last_credit_pull_d,0.08610954099860632
mths_since_rcnt_il,0.06047467354471744
open_il_24m,0.05211171179905081
il_util,0.04962759533924424
fico_range_high,0.0362331373829433
fico_range_low,0.0362331373829433
open_rv_12m,0.03147459387638332
title,0.030038154416423248
zip_code,0.025976400947597483
open_rv_24m,0.017718587843277282
all_util,0.013074482649129797
inq_last_12m,0.006106434903960949
open_acc_6m,0.003748620954696333
