feature,gain
total_pymnt,3.5146369689712755
total_rec_prncp,3.398088881414026
max_bal_bc,2.4486672616196397
total_bal_il,2.333108343564734
last_pymnt_d,2.074762180807027
open_act_il,1.4204387720009426
bc_open_to_buy,1.3407985315359943
total_pymnt_inv,1.298036626613784
int_rate,1.2005981986277523
last_pymnt_amnt,1.0996110898573306
sub_grade,0.9722710860680218
issue_d,0.6568698298182299
open_il_24m,0.5785585158489005
mths_since_rcnt_il,0.5035601235755812
last_credit_pull_d,0.469414177340265
last_fico_range_high,0.44120235023111626
last_fico_range_low,0.44120235023111626
il_util,0.4344178704556305
open_rv_12m,0.25222465946205364
grade,0.23193637659558616
title,0.13413380529713537
open_rv_24m,0.12335746338549754
fico_range_high,0.11274788847035686
fico_range_low,0.11274788847035686
zip_code,0.10753249866105848
all_util,0.09836114758704807
emp_title,0.06589495773124149
inq_last_12m,0.05625230526265944
open_acc_6m,0.02416544710133222
