feature,iv,status
emp_title,11.722206785141465,ok
last_fico_range_high,7.9728417129863365,ok
last_fico_range_low,7.9728417129863365,ok
last_pymnt_amnt,5.996035913679107,ok
total_rec_prncp,4.2683275373528,ok
last_pymnt_d,2.8559238046141084,ok
total_pymnt,1.5745013310133231,ok
total_pymnt_inv,1.5697528965213665,ok
sub_grade,0.8867399634266917,ok
int_rate,0.8583868695631853,ok
grade,0.8369296895184484,ok
title,0.7092459139277005,ok
fico_range_high,0.23494788745220957,ok
fico_range_low,0.23494788745220957,ok
last_credit_pull_d,0.19657129995132325,ok
zip_code,0.18618314815548775,ok
bc_open_to_buy,0.12083142886263895,ok
issue_d,0.1072830545870018,ok
open_rv_24m,0.07395463420546096,ok
open_acc_6m,0.060521450644993494,ok
mths_since_rcnt_il,0.05890137590269659,ok
all_util,0.058718856296293136,ok
max_bal_bc,0.05260192376415965,ok
il_util,0.05175466606265846,ok
inq_last_12m,0.050798274852137046,ok
open_rv_12m,0.04637367717434786,ok
open_il_24m,0.03742179407772623,ok
total_bal_il,0.032845278188548224,ok
open_act_il,0.02267172755901518,ok
open_il_12m,0.009070341172361038,ok
inq_fi,0.008513343969212989,ok
total_cu_tl,0.0067394286386725935,ok
out_prncp,0.0,ok
out_prncp_inv,0.0,ok
next_pymnt_d,0.0,ok
